# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
5100 145.332 -311673 -530.808 163803 73.2261 72.9738 35.3964 120 -89.7981 -1093.54 -409.085 -1883.54 -851.335 -670.355
5150 146.672 -311677 38.9145 163789 73.227 72.9671 35.3962 120 558.704 -20.1973 -421.763 -2009.23 -913.301 -1085.06
5200 146.348 -311678 116.697 163782 73.2307 72.9612 35.3957 120 697.882 262.286 -610.076 -1952.24 -746.281 -750.9
5250 146.513 -311679 896.028 163792 73.2384 72.9583 35.3956 120 1615.22 455.306 617.556 -2149.47 -1548.12 -174.594
5300 144.738 -311676 175.004 163823 73.2502 72.9579 35.3968 120 324.367 118.18 82.4636 -1964.8 -638.827 -1134.28
5350 145.758 -311676 -351.512 163856 73.2632 72.9574 35.3979 120 -639.974 191.681 -606.244 -1938.58 -767.946 -285.123
5400 146.373 -311675 -709.721 163877 73.2732 72.9565 35.398 120 -824.693 -750.358 -554.111 -2364.8 -515.893 -1143.4
5450 145.321 -311672 -228.42 163883 73.2798 72.9537 35.3975 120 -581.407 -780.579 676.725 -2019.39 -875.04 -1147.16
5500 145.896 -311671 -1110.13 163877 73.2828 72.9487 35.3971 120 -1065.3 -951.115 -1313.96 -2352.56 -509.58 -814.042
5550 147.223 -311673 -221.792 163845 73.2805 72.941 35.3951 120 -1534.85 740.67 128.801 -2531.18 -453.329 -817.322
5600 147.696 -311674 -138.204 163805 73.2734 72.9355 35.3925 120 -657.45 636.225 -393.386 -2107.77 -629.75 -1025.42
5650 147.103 -311674 709.033 163770 73.2658 72.9323 35.3902 120 277.422 867.181 982.497 -2334.04 -301.554 -817.745
5700 146.799 -311676 122.167 163753 73.2596 72.932 35.3895 120 483.087 451.158 -567.744 -2313.27 -1206.88 -492.676
5750 146.668 -311677 148.31 163748 73.2555 72.9347 35.3892 120 -224.797 311.98 357.748 -2012.38 -1249.68 -1061.98
5800 146.142 -311678 354.628 163755 73.2522 72.9395 35.3899 120 -72.7847 1134.68 1.98911 -2230.74 -1258.66 -641.406
5850 145.388 -311677 524.143 163773 73.2494 72.9478 35.3912 120 31.1934 988.355 552.88 -2091.86 -736.118 -1027.28
5900 145.456 -311677 -191.729 163807 73.248 72.9585 35.394 120 -544.204 -349.697 318.715 -1833.4 -606.01 -831.462
