# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
9600 70.7302 -311790 256.281 163424 73.0804 72.9178 35.4121 120 -146.116 297.193 617.765 -1656.42 1131.96 1064.29
9650 70.0445 -311790 460.27 163409 73.0757 72.9167 35.4116 120 1136.58 -13.1298 257.361 -1750.92 1149.47 610.601
9700 69.9428 -311790 120.096 163411 73.0771 72.9149 35.4121 120 584.419 -101.949 -122.181 -1497.51 1566.13 1025.67
9750 70.1539 -311789 119.817 163420 73.0827 72.9122 35.4128 120 246.5 290.865 -177.914 -1698.82 810.007 1398.55
9800 70.3601 -311788 295.733 163438 73.091 72.9105 35.4135 120 252.88 484.485 149.835 -1644.09 1145.83 979.993
9850 70.7179 -311787 -604.127 163466 73.101 72.9103 35.4148 120 -654.663 -506.976 -650.741 -1576.2 843.393 788.31
9900 71.6151 -311787 -379.503 163478 73.1082 72.9087 35.4146 120 -471.93 -497.034 -169.545 -1762.25 848.729 1543.93
9950 71.5273 -311786 -416.976 163469 73.1107 72.9051 35.4133 120 -328.03 -694.939 -227.958 -1794.97 884.675 873.872
10000 71.8649 -311786 -266.083 163444 73.11 72.8981 35.4115 120 -670.391 26.2922 -154.15 -2015.05 1016.92 1050.18
10050 71.871 -311787 378.779 163412 73.1063 72.8912 35.4098 120 127.443 517.697 491.198 -1682.3 1446.1 869.509
10100 71.3831 -311787 661.327 163399 73.103 72.8892 35.4096 120 807.349 729.5 447.13 -1929.77 985.677 572.153
10150 71.1228 -311788 320.419 163414 73.1037 72.8926 35.4108 120 85.0635 463.433 412.759 -1658.69 1428.03 1145.26
10200 70.9878 -311789 -234.665 163441 73.1057 72.8998 35.4122 120 -292.802 137.572 -548.766 -1904.53 702.56 640.57
10250 70.6274 -311790 -357.613 163463 73.1059 72.9091 35.4123 120 -734.223 -341.326 2.71021 -1703.65 1305.8 1222.52
