# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
4850 25.6968 -311863 -185.683 163177 72.8892 72.9956 35.4134 120 -399.702 -310.745 153.397 322.871 -1935.31 -527.634
4900 25.3157 -311863 292.551 163142 72.8809 72.9879 35.4137 120 392.524 234.552 250.577 369.871 -1701.11 -450.49
4950 25.0934 -311863 109.59 163141 72.8782 72.9868 35.4152 120 207.357 -9.95043 131.364 354.161 -1858.48 -601.639
5000 25.097 -311864 62.7396 163159 72.8787 72.9902 35.4174 120 130.582 135.63 -77.9937 243.966 -1642.83 -355.145
5050 24.5278 -311863 -4.95335 163191 72.8829 72.9964 35.4191 120 162.477 -4.50826 -172.828 330.579 -1826.71 -434.553
5100 24.3419 -311864 -336.705 163210 72.8893 72.9996 35.4187 120 -413.389 -293.852 -302.873 1.87974 -2068.28 -489.225
5150 24.2439 -311864 94.921 163185 72.8893 72.9961 35.4149 120 4.20279 -129.03 409.59 428.492 -2088.39 -716.883
5200 24.6803 -311865 46.3881 163155 72.8863 72.9901 35.4127 120 28.0698 -74.2869 185.382 436.484 -1683.52 -509.682
5250 24.7926 -311864 283.327 163142 72.8846 72.9838 35.4139 120 147.091 393.111 309.78 228.856 -2152.89 -557.094
5300 25.1133 -311863 -79.2466 163177 72.8877 72.9855 35.419 120 -31.8943 -71.9941 -133.851 113.383 -1591.74 -581.965
5350 25.2496 -311862 -224.548 163205 72.891 72.9879 35.4224 120 -261.034 56.2887 -468.898 108.059 -1785.85 -290.68
5400 25.4765 -311862 -79.5279 163200 72.8879 72.9913 35.4211 120 -176.906 243.541 -305.218 141.187 -1813.49 -771.498
5450 25.7015 -311862 -42.276 163178 72.8801 72.9969 35.4174 120 92.8706 -254.555 34.8564 257.893 -1791.92 -615.847
5500 25.5526 -311862 168.847 163156 72.8756 72.9973 35.4147 120 390.33 48.7857 67.424 460.578 -1837.34 -718.011
5550 25.0756 -311862 266.68 163154 72.8797 72.997 35.4125 120 152.564 196.879 450.596 114.581 -1509.87 -355.714
5600 25.18 -311863 -269.021 163173 72.8852 72.9992 35.4128 120 -353.569 -594.722 141.227 344.898 -2059.02 -378.182
5650 24.8696 -311864 64.717 163173 72.8845 72.9946 35.4154 120 -140.187 184.481 149.857 489.868 -1620.75 -281.441
5700 24.5297 -311864 -79.5846 163171 72.8805 72.9912 35.4186 120 -168.811 138.308 -208.251 675.612 -2065.01 -239.027
5750 24.5463 -311865 256.49 163154 72.8746 72.9896 35.4185 120 427.228 317.121 25.1219 558.778 -1543.4 -546.057
5800 24.4243 -311864 141.257 163166 72.8775 72.9932 35.4178 120 456.964 62.6551 -95.8472 163.954 -1991.2 -262.323
5850 24.5833 -311863 -198.092 163192 72.8881 72.9963 35.4168 120 -215.64 -291.196 -87.4401 396.231 -1887.72 -335.727
5900 24.8266 -311864 -61.1798 163195 72.8956 72.9937 35.4152 120 -215.052 -217.164 248.676 117.782 -1913.9 -649.303
5950 25.1979 -311863 -69.5033 163191 72.8977 72.9897 35.4152 120 -137.269 63.0279 -134.269 267.824 -1741.61 -558.938
6000 25.2829 -311862 -55.2339 163176 72.8933 72.988 35.4149 120 -207.252 142.16 -100.61 189.472 -1872.33 -636.063
6050 25.6519 -311862 376.655 163156 72.8846 72.9887 35.4145 120 396.415 371.011 362.539 120.228 -1767.04 -552.249
6100 25.536 -311862 77.8898 163160 72.8804 72.9945 35.4146 120 118.472 -16.1743 131.372 388.153 -1889.5 -401.996
6150 25.3602 -311862 -50.8436 163174 72.8811 72.9994 35.415 120 319.108 -238.301 -233.338 491.795 -1603.34 -726.706
